Axosomatic Neurolink Enhancer	10000000
C3-FTM Acid	15000000
Caesarium Cadmide	10000000
Carbon Polymers	10000000
Carbon-86 Epoxy Resin	15000000
Ceramic Powder	10000000
Cogni-Emotive Neurolink Enhancer	10000000
Crystalline Carbonide	20000000
Crystallite Alloy	10000000
Dysporite	10000000
Fermionic Condensates	20000000
Fernite Alloy	10000000
Fernite Carbide	20000000
Ferrofluid	10000000
Ferrogel	20000000
Fluxed Condensates	10000000
Fullerene Intercalated Graphite	15000000
Fulleride	20000000
Fulleroferrocene	15000000
Goal-Orienting Neurolink Stabilizer	10000000
Graphene Nanoribbons	15000000
Hexite	10000000
Hyperflurite	10000000
Hypersynaptic Fibers	20000000
Hypnagogic Neurolink Enhancer	10000000
Improved Blue Pill Booster	10000000
Improved Crash Booster	10000000
Improved Drop Booster	10000000
Improved Exile Booster	10000000
Improved Frentix Booster	10000000
Improved Mindflood Booster	10000000
Improved Sooth Sayer Booster	10000000
Improved X-Instinct Booster	10000000
Isotropic Neofullerene Alpha-3	10000000
Isotropic Neofullerene Beta-6	10000000
Isotropic Neofullerene Gamma-9	10000000
Lanthanum Metallofullerene	15000000
Meta-Operant Neurolink Enhancer	40000000
Methanofullerene	15000000
Nanotransistors	20000000
Neo Mercurite	10000000
Nonlinear Metamaterials	20000000
Phenolic Composites	20000000
Photonic Metamaterials	20000000
Plasmonic Metamaterials	20000000
Platinum Technite	10000000
PPD Fullerene Fibers	15000000
Pressurized Oxidizers	20000000
Promethium Mercurite	10000000
Prometium	10000000
Reaction-Orienting Neurolink Stabilizer	10000000
Rolled Tungsten Alloy	10000000
Scandium Metallofullerene	15000000
Sense-Heuristic Neurolink Enhancer	10000000
Silicon Diborite	10000000
Solerium	10000000
Standard Blue Pill Booster	10000000
Standard Crash Booster	10000000
Standard Drop Booster	10000000
Standard Exile Booster	10000000
Standard Frentix Booster	10000000
Standard Mindflood Booster	10000000
Standard Sooth Sayer Booster	10000000
Standard X-Instinct Booster	10000000
Stress-Responding Neurolink Stabilizer	10000000
Strong Blue Pill Booster	10000000
Strong Crash Booster	10000000
Strong Drop Booster	10000000
Strong Exile Booster	10000000
Strong Frentix Booster	10000000
Strong Mindflood Booster	10000000
Strong Sooth Sayer Booster	10000000
Strong X-Instinct Booster	10000000
Sulfuric Acid	10000000
Sylramic Fibers	20000000
Synth Blue Pill Booster	10000000
Synth Crash Booster	10000000
Synth Drop Booster	10000000
Synth Exile Booster	10000000
Synth Frentix Booster	10000000
Synth Mindflood Booster	10000000
Synth Sooth Sayer Booster	10000000
Synth X-Instinct Booster	10000000
Terahertz Metamaterials	20000000
Thulium Hafnite	10000000
Titanium Carbide	20000000
Titanium Chromide	10000000
Tungsten Carbide	20000000
Ultradian-Cycling Neurolink Stabilizer	10000000
Unrefined Caesarium Cadmide	10000000
Unrefined Crystallite Alloy	10000000
Unrefined Dysporite	10000000
Unrefined Fernite Alloy	10000000
Unrefined Ferrofluid	10000000
Unrefined Fluxed Condensates	10000000
Unrefined Hexite	10000000
Unrefined Hyperflurite	10000000
Unrefined Neo Mercurite	10000000
Unrefined Platinum Technite	10000000
Unrefined Promethium Mercurite	10000000
Unrefined Prometium	10000000
Unrefined Rolled Tungsten Alloy	10000000
Unrefined Solerium	10000000
Unrefined Thulium Hafnite	10000000
Unrefined Titanium Chromide	10000000
Unrefined Vanadium Hafnite	10000000
Vanadium Hafnite	10000000
