'Atgeir' Explosive Disruptive Lance	500000000
'Augmented' Acolyte	9999999
'Augmented' Berserker	9999999
'Augmented' Hammerhead	9999999
'Augmented' Hobgoblin	9999999
'Augmented' Hornet	9999999
'Augmented' Ice Harvesting Drone	9999999
'Augmented' Infiltrator	9999999
'Augmented' Mining Drone	9999999
'Augmented' Ogre	9999999
'Augmented' Praetor	9999999
'Augmented' Warrior	9999999
'Augmented' Wasp	9999999
'Aurora Ominae' Thermal Doomsday	240950758
'Azmaru' Electromagnetic Disruptive Lance	500000000
'Basic' EM Energized Membrane	300000
'Basic' Explosive Energized Membrane	300000
'Basic' Kinetic Energized Membrane	300000
'Basic' Layered Energized Membrane	300000
'Basic' Multispectrum Energized Membrane	500000
'Basic' Thermal Energized Membrane	300000
'Cold Wind' Kinetic Reaper	300000000
'Divine Harvest' Electromagnetic Reaper	300000000
'Dunk' Salvage Drone	29986000
'Excavator' Ice Harvesting Drone	200000000
'Excavator' Mining Drone	200000000
'Geiravor' Explosive Lance	300000000
'Gjallarhorn' Explosive Doomsday	240435272
'Guillotine' Thermal Reaper	300000000
'Holy Destiny' Electromagnetic Lance	300000000
'Integrated' Acolyte	200000
'Integrated' Berserker	4000000
'Integrated' Hammerhead	1800000
'Integrated' Hobgoblin	250000
'Integrated' Hornet	300000
'Integrated' Infiltrator	1700000
'Integrated' Ogre	7000000
'Integrated' Praetor	6000000
'Integrated' Valkyrie	1500000
'Integrated' Vespa	1600000
'Integrated' Warrior	400000
'Integrated' Wasp	5000000
'Iron Pike' Kinetic Lance	300000000
'Jormungandr' Explosive Reaper	300000000
'Judgment' Electromagnetic Doomsday	240727880
'Magpie' Mobile Tractor Unit	30000000
'Oblivion' Kinetic Doomsday	240947786
'Packrat' Mobile Tractor Unit	30000000
'Phalarica' Thermal Lance	300000000
'Sarissa' Thermal Disruptive Lance	500000000
'Seneschal' Mercenary Den	50000000
'Steel Yari' Kinetic Disruptive Lance	500000000
'Subverted' JVN-UC49	5000000
'Wetu' Mobile Depot	1000000
'Yurt' Mobile Depot	1000000
10000MN Monopropellant Enduring Afterburner	32000000
10000MN Y-S8 Compact Afterburner	32000000
100mm Steel Plates II	10000000000
100MN Afterburner II	10000000000
10MN Afterburner II	10000000000
1200mm Artillery Cannon I	12000000
1200mm Artillery Cannon II	10000000000
125mm Gatling AutoCannon I	20000
125mm Gatling AutoCannon II	10000000000
125mm Railgun I	90000
125mm Railgun II	10000000000
1400mm Howitzer Artillery I	15000000
1400mm Howitzer Artillery II	10000000000
150mm Light AutoCannon II	10000000000
150mm Railgun II	10000000000
1600mm Steel Plates I	7000000
1600mm Steel Plates II	10000000000
1MN Afterburner II	10000000000
200mm AutoCannon II	10000000000
200mm Railgun II	10000000000
200mm Steel Plates I	800000
200mm Steel Plates II	10000000000
220mm Vulcan AutoCannon I	600000
220mm Vulcan AutoCannon II	10000000000
25000mm Rolled Tungsten Compact Plates	43484000
250mm Light Artillery Cannon I	120000
250mm Light Artillery Cannon II	10000000000
250mm Railgun I	1500000
250mm Railgun II	10000000000
280mm Howitzer Artillery I	150000
280mm Howitzer Artillery II	10000000000
350mm Railgun I	10000000
350mm Railgun II	10000000000
400mm Steel Plates I	1600000
400mm Steel Plates II	10000000000
425mm AutoCannon I	900000
425mm AutoCannon II	10000000000
425mm Railgun I	15000000
425mm Railgun II	10000000000
50000MN Cold-Gas Enduring Microwarpdrive	158000000
50000MN Microwarpdrive I	79000000
50000MN Microwarpdrive II	60000000
50000MN Quad LiF Restrained Microwarpdrive	158000000
50000MN Y-T8 Compact Microwarpdrive	158000000
500MN Microwarpdrive I	7909400
500MN Microwarpdrive II	10000000000
50MN Microwarpdrive I	1581880
50MN Microwarpdrive II	10000000000
5MN Microwarpdrive II	10000000000
650mm Artillery Cannon I	1200000
650mm Artillery Cannon II	10000000000
720mm Howitzer Artillery I	1500000
720mm Howitzer Artillery II	10000000000
75mm Gatling Rail I	20000
75mm Gatling Rail II	10000000000
800mm Repeating Cannon I	9000000
800mm Repeating Cannon II	10000000000
800mm Steel Plates II	10000000000
Abaddon	1800000000
Absolution	50000000000
Abyssal Asteroid Mining Crystal Type A I	7200000
Abyssal Asteroid Mining Crystal Type A II	10000000000
Abyssal Asteroid Mining Crystal Type B I	9000000
Abyssal Asteroid Mining Crystal Type B II	12500000000
Abyssal Asteroid Mining Crystal Type C I	10800000
Abyssal Asteroid Mining Crystal Type C II	15000000000
Acolyte EV-300	200000
Acolyte II	20000000000
Acolyte TD-300	200000
Active Shielding Charge	10000000
Advanced Large Ship Assembly Array	250000000
Advanced Logistics Network	1150000000
Advanced Medium Ship Assembly Array	150000000
Advanced Small Ship Assembly Array	75000000
Affirmative. Modified Entosis Link	200000000
Afocal Precise Dual Giga Beam Laser	96800000
Afocal Precise Dual Giga Pulse Laser	86000000
Afocal Precise Quad Mega Pulse Laser	90000000
Algos	8242751
Alligator	580000000
Amarr Phenomena Generator	300000000
Amarr Shuttle	50000
Ametat I	300000000
Ametat II	300000000
Ammunition Assembly Array	50000000
Ample Gallium Quad 800mm Repeating Cannon	68000000
Anathema	50000000000
Anode Scoped Dual Giga Beam Laser	96800000
Anode Scoped Dual Giga Pulse Laser	86000000
Anode Scoped Ion Siege Blaster	72280000
Anode Scoped Quad Mega Pulse Laser	90000000
Anode Scoped Triple Neutron Blaster Cannon	76800000
Anshar	1950000000
Antaeus I	300000000
Antaeus II	300000000
Antimatter Charge L	1000000
Antimatter Charge M	400000
Antimatter Charge XL	10000000
Apocalypse	1265000000
Apostle	1000000000
Apotheosis	50000
Aralez	1600000
Arazu	50000000000
Arbalest Compact Rapid Torpedo Launcher	9740000
Arbalest Compact XL Cruise Missile Launcher	108700000
Arbalest Compact XL Torpedo Launcher	108740000
Arbitrator	81750000
Archon	1100000000
Ares	50000000000
Ark	1900000000
Armageddon	1565000000
Armageddon Navy Issue	662500000
Armor Command Burst I	2000000
Armor Command Burst II	2000000
Armor EM Resistance Script	5000000
Armor Energizing Charge	10000000
Armor Explosive Resistance Script	5000000
Armor Kinetic Resistance Script	5000000
Armor Reinforcement Charge	10000000
Armor Thermal Resistance Script	5000000
Assault Damage Control I	250000
Assault Damage Control II	9999999
Astarte	50000000000
Atron	2125000
Augoror	80750000
Aurora L	10000000000
Aurora M	10000000000
Aurora S	10000000000
Aurora XL	30000000
Auto Targeting System I	29440
Auto Targeting System II	9999999
Avalanche	2000000000
Avatar	75000000000
Axosomatic Neurolink Enhancer	10000000
Ballistic Control System II	10000000000
Ballistic Deflection Array	50000000
Barrage L	10000000000
